First Name,Last Name,Matches Played,Goals Scored,Assists,Shots,Shots on Target,Shots to Shots on Target %,Shots to Goal %,Passes,Completed Passes,Pass accuarcy %
Neymar,Ronaldo,24,17,5,78,28,63.64%,20%,556,350,80%
Antoine,Jr.,23,19,9,67,56,63.64%,24.44%,447,600,89.23%
Antoine,Messi,17,21,5,83,54,55.56%,20%,700,428,91.67%
Lionel,Ronaldo,18,18,7,90,57,55.56%,23.08%,489,376,85.71%
Harry,De Bruyne,16,8,18,74,36,54.55%,14.55%,539,449,87.27%
Neymar,Jr.,24,8,7,45,25,56.25%,25.45%,400,381,87.50%
Harry,Griezmann,18,21,5,78,34,54.55%,24.44%,536,570,87.27%
Neymar,Ronaldo,25,18,9,52,25,61.54%,25%,400,369,86.67%
Robert,Lewandowski,25,22,6,90,47,78.57%,25%,700,600,80%
Harry,Salah,18,18,7,88,47,66.67%,21.33%,679,588,89.23%
Harry,Kane,17,21,5,90,42,66.67%,24.44%,700,600,83.33%
Robert,De Bruyne,20,16,7,90,51,66.67%,24.44%,700,560,86.67%
Lionel,Griezmann,21,17,8,74,44,66.67%,24.44%,586,501,80%
Harry,Kane,18,19,5,86,49,56.25%,21.33%,700,406,91.67%
Lionel,Salah,18,22,9,90,39,55.56%,25%,568,597,80%
Robert,Lewandowski,16,15,5,90,38,63.64%,20%,524,586,86.67%
Neymar,Griezmann,19,13,8,51,33,63.64%,22.22%,507,518,87.50%
Neymar,Mbappé,19,13,11,46,37,55.56%,14.55%,409,374,86.67%
Robert,Kane,23,22,10,77,43,66.67%,25.45%,633,600,80%
Lionel,Messi,19,22,5,90,48,66.67%,24.44%,700,600,91.67%
Robert,Lewandowski,17,22,11,85,53,66.67%,21.33%,641,600,86.67%
Kylian,Mbappé,18,19,7,63,33,63.64%,25.45%,700,381,91.67%
Antoine,Messi,25,16,5,87,52,66.67%,22.22%,700,540,80%
Kevin,Griezmann,19,22,5,83,50,61.54%,14.55%,700,411,85.71%
Antoine,De Bruyne,18,11,5,59,25,54.55%,25.45%,400,488,87.27%
Kevin,Griezmann,16,14,8,53,35,54.55%,25.45%,579,400,83.33%
Mohamed,Lewandowski,17,22,11,60,34,78.57%,25.71%,700,589,85.71%
Kylian,Kane,16,18,6,62,43,78.57%,25.71%,700,364,85.71%
Cristiano,Lewandowski,25,22,6,90,60,78.57%,25.71%,642,507,85.71%
Cristiano,Ronaldo,23,18,5,46,25,55.56%,25%,424,377,87.50%
Mohamed,Griezmann,20,19,6,90,54,66.67%,20%,597,582,91.67%
Harry,Kane,25,22,5,90,48,66.67%,21.33%,640,600,89.23%
Antoine,Griezmann,24,15,10,59,28,54.55%,25.71%,576,365,86.67%
Cristiano,Griezmann,18,8,14,45,29,54.55%,22.22%,464,350,87.50%
Antoine,Griezmann,21,16,5,69,31,54.55%,25.71%,501,361,91.67%
Cristiano,Jr.,19,21,17,82,27,63.64%,22.22%,516,358,86.67%
Neymar,Jr.,20,10,15,59,26,55.56%,22.22%,526,411,87.50%
Kevin,Mbappé,22,17,5,71,25,66.67%,25.45%,479,376,83.33%
Harry,Lewandowski,23,22,5,90,60,66.67%,21.33%,700,549,85.71%
Antoine,Messi,22,17,8,60,56,58.33%,25.71%,509,414,89.23%
Kylian,Kane,22,9,13,49,29,54.55%,20%,527,460,87.27%
Cristiano,Messi,23,20,6,87,54,78.57%,25.71%,512,600,89.23%
Neymar,Salah,22,16,8,48,35,54.55%,23.08%,534,451,89.23%
Antoine,Griezmann,16,10,9,61,28,54.55%,20%,494,477,89.23%
Lionel,Messi,23,13,9,68,53,55.56%,14.55%,486,562,86.67%
Kevin,Jr.,16,13,9,59,39,58.33%,25.45%,519,361,86.67%
Harry,Kane,16,16,5,90,51,58.33%,24.44%,677,496,85.71%
Harry,Lewandowski,20,22,6,90,49,66.67%,21.33%,700,600,87.27%
Antoine,De Bruyne,18,8,7,67,25,66.67%,14.55%,475,401,83.33%
Antoine,Kane,18,19,10,90,49,66.67%,21.33%,700,600,89.23%
Harry,Kane,17,19,9,83,48,78.57%,24.44%,700,571,80%
Cristiano,De Bruyne,18,19,8,79,49,78.57%,20%,559,572,91.67%
Harry,Kane,20,18,7,87,47,66.67%,14.55%,700,572,89.23%
Robert,Ronaldo,20,17,8,63,29,78.57%,20%,560,392,83.33%
Cristiano,Salah,18,15,12,75,31,54.55%,22.22%,400,500,86.67%
Antoine,Messi,22,15,7,63,60,55.56%,20%,565,350,87.27%
Mohamed,Ronaldo,22,11,14,54,28,78.57%,23.08%,618,350,87.27%
Neymar,Jr.,16,19,7,63,41,54.55%,23.08%,620,384,87.27%
Neymar,Ronaldo,25,9,10,53,33,55.56%,14.55%,400,362,87.50%
Kevin,Salah,16,19,7,71,34,66.67%,24.44%,400,426,89.23%
Mohamed,De Bruyne,24,12,6,78,29,55.56%,23.08%,533,393,91.67%
Robert,Kane,23,18,7,86,45,78.57%,23.08%,616,576,85.71%
Antoine,Jr.,16,11,15,66,37,61.54%,23.08%,561,456,83.33%
Harry,Messi,18,22,5,89,56,56.25%,24.44%,578,600,85.71%
Cristiano,Lewandowski,18,20,5,62,30,61.54%,25%,590,376,83.33%
Neymar,Salah,25,22,5,57,25,56.25%,25.45%,464,361,83.33%
Harry,Jr.,21,16,11,90,28,58.33%,21.33%,505,516,83.33%
Lionel,Jr.,19,21,5,76,49,56.25%,24.44%,496,593,86.67%
Mohamed,Messi,24,19,8,83,38,54.55%,22.22%,629,408,87.27%
Kevin,De Bruyne,16,8,11,45,25,58.33%,22.22%,517,460,87.27%
Mohamed,Lewandowski,23,22,5,90,60,66.67%,21.33%,464,600,80%
Lionel,Lewandowski,16,20,5,90,46,66.67%,21.33%,650,575,85.71%
Mohamed,Lewandowski,25,17,9,90,42,63.64%,21.33%,624,581,91.67%
Mohamed,Lewandowski,25,20,5,82,51,63.64%,21.33%,400,513,83.33%
Mohamed,Ronaldo,24,16,6,66,25,55.56%,25%,431,361,80%
Lionel,Messi,21,20,8,90,42,66.67%,24.44%,655,539,89.23%
Robert,Kane,23,19,5,56,42,78.57%,25%,636,569,83.33%
Harry,Ronaldo,20,15,6,89,43,66.67%,20%,551,414,87.50%
Mohamed,Lewandowski,18,15,9,58,52,54.55%,20%,667,457,85.71%
Lionel,Kane,18,22,8,90,51,66.67%,21.33%,700,573,87.27%
Mohamed,Salah,24,15,13,79,50,61.54%,25.71%,690,568,87.27%
Robert,Jr.,16,14,5,65,46,63.64%,23.08%,431,386,83.33%
Kevin,Griezmann,16,15,12,69,45,61.54%,25.71%,614,570,87.50%
Robert,Jr.,25,22,8,83,60,78.57%,21.33%,652,559,80%
Kylian,De Bruyne,19,12,9,74,37,54.55%,22.22%,488,487,87.27%
Lionel,Lewandowski,25,20,8,90,60,78.57%,24.44%,622,553,91.67%
Robert,De Bruyne,23,18,7,74,36,54.55%,20%,470,363,80%
Kevin,Kane,16,17,7,50,29,63.64%,14.55%,590,384,87.27%
Harry,Messi,25,19,5,80,45,56.25%,25.71%,533,350,91.67%
Robert,Messi,24,22,8,74,51,56.25%,25.71%,531,368,91.67%
Antoine,Messi,17,11,7,64,39,78.57%,14.55%,626,600,87.27%
Robert,Mbappé,19,18,5,63,50,66.67%,20%,700,543,86.67%
Kevin,Mbappé,19,8,13,60,25,55.56%,21.33%,497,386,87.27%
Robert,Salah,17,22,5,64,51,66.67%,21.33%,414,574,86.67%
Neymar,Jr.,21,10,15,50,27,63.64%,22.22%,445,350,87.50%
Antoine,Lewandowski,18,17,5,90,45,66.67%,24.44%,655,570,89.23%
Kevin,Griezmann,18,22,8,90,25,55.56%,22.22%,519,371,83.33%
Harry,Lewandowski,16,16,10,70,51,54.55%,21.33%,554,397,89.23%
Mohamed,Salah,18,22,7,90,52,78.57%,24.44%,664,592,80%
Kevin,Kane,18,13,14,63,25,54.55%,14.55%,556,480,87.50%
Robert,Lewandowski,20,22,5,90,59,66.67%,24.44%,631,600,85.71%
Robert,Mbappé,17,21,11,83,47,66.67%,23.08%,625,560,89.23%
Neymar,Ronaldo,21,8,12,47,25,55.56%,22.22%,401,396,87.27%
Robert,Messi,23,15,8,90,50,55.56%,21.33%,692,594,87.50%
Lionel,Griezmann,24,16,10,51,31,63.64%,24.44%,400,350,83.33%
Kylian,Jr.,20,22,12,61,54,54.55%,24.44%,650,401,89.23%
Neymar,Kane,16,12,11,57,35,58.33%,24.44%,507,460,83.33%
Neymar,De Bruyne,21,8,11,54,25,55.56%,20%,400,364,87.27%
Cristiano,Lewandowski,16,12,5,71,40,78.57%,14.55%,700,588,85.71%
Antoine,Kane,21,22,11,90,51,66.67%,20%,552,541,87.27%
Lionel,Ronaldo,25,17,5,90,52,66.67%,25.71%,700,556,89.23%
Cristiano,Ronaldo,24,16,5,73,25,56.25%,25%,545,399,80%
Antoine,Messi,16,22,5,90,35,78.57%,22.22%,567,401,80%
Robert,Messi,20,16,7,76,54,78.57%,25.71%,530,581,80%
Mohamed,Griezmann,16,10,10,52,30,56.25%,14.55%,445,403,87.50%
Kylian,Mbappé,22,8,6,45,40,55.56%,22.22%,408,361,87.50%
Lionel,De Bruyne,19,14,7,90,37,63.64%,25.71%,597,354,85.71%
Kevin,Salah,24,12,5,45,31,56.25%,23.08%,423,363,89.23%
Neymar,Mbappé,24,17,5,59,25,56.25%,22.22%,435,398,91.67%
Neymar,Griezmann,25,8,6,58,25,63.64%,25%,540,399,83.33%
Kevin,Salah,18,8,10,50,38,58.33%,24.44%,700,387,87.50%
Harry,Griezmann,19,17,6,57,33,63.64%,25.45%,402,370,85.71%
Lionel,Griezmann,18,9,10,69,25,63.64%,14.55%,525,409,87.50%
Cristiano,Lewandowski,16,19,5,89,32,58.33%,24.44%,488,398,87.50%
Antoine,Jr.,17,16,12,57,43,54.55%,14.55%,420,424,89.23%
Harry,Lewandowski,17,22,5,90,52,66.67%,21.33%,700,583,85.71%
Antoine,Mbappé,16,18,7,68,31,55.56%,23.08%,417,366,87.27%
Cristiano,Griezmann,20,17,9,90,49,61.54%,20%,700,588,85.71%
Robert,Messi,23,22,7,90,50,66.67%,24.44%,700,583,85.71%
Lionel,Messi,24,20,10,72,48,78.57%,25%,501,408,80%
Kylian,Messi,17,11,5,76,30,63.64%,23.08%,400,491,80%
Robert,Salah,22,21,11,90,35,56.25%,21.33%,499,455,80%
Harry,Kane,18,20,10,90,55,78.57%,14.55%,700,600,86.67%
Mohamed,Jr.,22,17,5,45,29,55.56%,25%,466,388,87.27%
Lionel,Ronaldo,25,16,9,90,46,78.57%,25.71%,700,600,80%
Neymar,Kane,20,20,11,79,54,61.54%,20%,700,582,87.27%
Cristiano,Jr.,18,17,13,78,52,78.57%,25.71%,566,403,83.33%
Antoine,Griezmann,16,13,10,45,30,54.55%,20%,527,365,86.67%
Harry,Mbappé,16,12,17,70,25,54.55%,25%,540,404,87.27%
Harry,Griezmann,18,19,20,66,29,55.56%,22.22%,592,373,87.27%
Mohamed,Jr.,20,16,5,85,60,56.25%,14.55%,685,600,85.71%
Mohamed,Griezmann,16,9,12,53,26,54.55%,21.33%,522,598,85.71%
Harry,Lewandowski,17,22,5,90,55,61.54%,25.71%,531,368,85.71%
Lionel,Mbappé,25,15,12,46,31,63.64%,22.22%,400,350,83.33%
Robert,Kane,19,22,8,90,48,78.57%,21.33%,700,561,85.71%
Kevin,De Bruyne,19,11,9,76,34,66.67%,25%,487,512,87.27%
Harry,De Bruyne,20,13,7,66,60,54.55%,20%,700,519,89.23%
Lionel,Lewandowski,18,15,5,90,60,78.57%,23.08%,625,527,89.23%
Cristiano,Ronaldo,24,14,11,65,25,56.25%,22.22%,435,438,87.50%
Robert,Kane,17,20,11,90,58,66.67%,21.33%,700,574,89.23%
Cristiano,Messi,24,17,12,60,25,55.56%,25.71%,400,350,80%
Lionel,Jr.,23,17,6,66,49,55.56%,23.08%,700,350,89.23%
Lionel,Mbappé,21,21,13,77,34,78.57%,25.45%,423,415,86.67%
Robert,Jr.,17,18,5,76,39,56.25%,25.45%,508,384,85.71%
Cristiano,Ronaldo,25,18,5,87,49,56.25%,24.44%,477,393,80%
Kevin,Salah,20,14,10,69,25,54.55%,25.71%,561,369,87.27%
Harry,Kane,21,17,5,79,25,66.67%,21.33%,676,600,87.27%
Kylian,Griezmann,16,9,11,63,34,58.33%,14.55%,585,455,87.27%
Mohamed,Jr.,23,16,13,57,35,55.56%,25.45%,589,463,87.27%
Mohamed,Salah,25,11,9,70,46,63.64%,25.71%,614,365,80%
Neymar,Salah,19,19,5,63,46,55.56%,25%,436,391,80%
Kevin,Lewandowski,16,13,5,58,25,56.25%,22.22%,593,405,83.33%
Cristiano,Messi,25,21,10,90,45,78.57%,20%,590,563,80%
Kevin,Ronaldo,20,8,6,58,31,61.54%,25.71%,400,401,87.27%
Kylian,Mbappé,16,15,10,57,31,54.55%,23.08%,536,473,87.50%
Kylian,Jr.,24,20,5,69,49,55.56%,25%,529,588,85.71%
Harry,De Bruyne,22,22,10,76,50,61.54%,25.71%,680,580,91.67%
Cristiano,Lewandowski,17,22,5,90,57,66.67%,21.33%,646,600,85.71%
Harry,De Bruyne,19,19,6,90,27,61.54%,14.55%,556,463,85.71%
Cristiano,Jr.,25,9,5,58,25,55.56%,25%,400,447,86.67%
Kevin,Griezmann,17,13,8,53,25,54.55%,14.55%,512,492,87.27%
Kevin,Kane,20,22,5,61,30,63.64%,23.08%,545,416,87.27%
Harry,Kane,17,18,12,90,52,78.57%,23.08%,700,575,85.71%
Cristiano,Jr.,25,14,5,55,25,56.25%,25%,400,356,80%
Kevin,Lewandowski,22,20,10,90,30,56.25%,25.71%,613,382,80%
Neymar,Mbappé,24,20,8,65,48,61.54%,22.22%,515,503,80%
Harry,De Bruyne,18,15,17,82,42,66.67%,14.55%,700,484,89.23%
Harry,Griezmann,16,16,13,65,25,61.54%,14.55%,700,476,87.27%
Robert,Lewandowski,16,14,6,90,53,66.67%,24.44%,700,600,89.23%
Cristiano,Jr.,22,22,6,77,39,55.56%,22.22%,563,394,91.67%
Mohamed,Salah,19,21,10,90,46,66.67%,14.55%,700,598,85.71%
Robert,Ronaldo,18,21,5,90,48,56.25%,14.55%,700,576,85.71%
Robert,Lewandowski,23,22,5,69,50,66.67%,22.22%,507,577,87.50%
Kevin,De Bruyne,17,8,7,57,34,54.55%,25.71%,594,473,87.27%
Cristiano,Griezmann,19,21,9,64,36,66.67%,25.71%,531,391,87.27%
Harry,Lewandowski,18,12,7,90,60,61.54%,25.71%,700,596,85.71%
Lionel,Kane,23,17,7,58,54,78.57%,20%,492,353,83.33%
Lionel,Mbappé,23,13,5,78,29,56.25%,25.45%,520,388,91.67%
Robert,Messi,21,16,5,64,43,61.54%,25%,660,580,87.50%
Cristiano,Ronaldo,25,9,12,63,31,56.25%,20%,551,350,87.27%
Harry,Messi,16,22,11,90,57,78.57%,24.44%,636,483,87.27%
Robert,Messi,22,19,5,90,43,66.67%,24.44%,589,377,80%
Lionel,Jr.,23,16,10,71,38,78.57%,22.22%,511,355,87.50%
Harry,Lewandowski,20,18,7,90,59,66.67%,24.44%,700,600,89.23%
Lionel,Messi,25,20,9,90,45,56.25%,22.22%,643,570,80%
Lionel,Kane,16,16,8,81,38,66.67%,24.44%,591,600,91.67%
Antoine,Jr.,16,8,20,55,27,54.55%,14.55%,473,350,87.50%
Neymar,Jr.,21,15,18,73,37,54.55%,25.71%,493,540,86.67%
Robert,Messi,17,12,5,59,40,66.67%,23.08%,691,350,91.67%
Cristiano,Messi,25,18,8,81,40,63.64%,25%,401,375,80%
Neymar,Ronaldo,25,14,5,85,25,56.25%,25%,400,396,87.50%
Kylian,Griezmann,17,16,9,81,29,66.67%,14.55%,576,519,86.67%
Robert,Kane,20,22,6,90,58,66.67%,24.44%,647,600,89.23%
Cristiano,De Bruyne,24,11,5,63,25,54.55%,25.45%,471,394,87.27%
Neymar,Messi,22,20,11,85,48,66.67%,21.33%,700,553,87.50%
Harry,De Bruyne,16,12,13,69,38,58.33%,20%,540,453,87.27%
Cristiano,Ronaldo,25,22,6,87,40,58.33%,23.08%,613,545,80%
Kevin,Mbappé,16,11,7,49,35,63.64%,20%,575,499,83.33%
Mohamed,Jr.,18,9,11,88,53,66.67%,21.33%,700,502,87.27%
Cristiano,Messi,25,20,10,90,58,58.33%,25.71%,700,565,91.67%
Lionel,Kane,24,22,6,84,56,66.67%,22.22%,633,512,91.67%
Cristiano,Jr.,17,11,6,69,31,58.33%,22.22%,505,409,87.27%
Robert,Lewandowski,24,22,7,74,48,66.67%,24.44%,589,592,83.33%
Lionel,Kane,25,18,8,89,44,61.54%,23.08%,602,534,87.27%
Harry,Kane,18,18,6,90,52,56.25%,20%,700,600,85.71%
Kevin,Mbappé,16,8,19,69,33,54.55%,22.22%,588,471,83.33%
Kylian,Kane,17,19,5,90,53,66.67%,24.44%,576,600,83.33%
Robert,Kane,19,15,13,62,25,63.64%,23.08%,488,513,89.23%
Kylian,De Bruyne,17,10,20,67,29,58.33%,24.44%,506,387,86.67%
Mohamed,Salah,21,8,17,59,29,58.33%,14.55%,460,452,87.50%
Kevin,Mbappé,24,8,9,50,25,63.64%,22.22%,442,360,87.27%
Neymar,Ronaldo,25,9,8,45,30,55.56%,22.22%,434,350,87.50%
Lionel,Messi,16,14,12,71,36,58.33%,14.55%,586,454,85.71%
Neymar,Ronaldo,25,19,11,87,46,78.57%,25%,592,558,91.67%
Lionel,Ronaldo,25,19,6,80,60,61.54%,25%,525,363,87.27%
Cristiano,Jr.,23,8,5,52,32,66.67%,25.71%,500,398,91.67%
Kevin,Mbappé,20,15,10,79,56,61.54%,24.44%,477,365,89.23%
Kylian,Salah,17,22,9,90,30,63.64%,20%,478,403,83.33%
Neymar,Ronaldo,25,22,11,72,45,55.56%,14.55%,573,600,80%
Cristiano,Ronaldo,24,17,5,87,26,56.25%,25%,525,412,80%
Cristiano,Ronaldo,24,15,7,51,41,56.25%,25.71%,400,363,91.67%
Kylian,Jr.,16,11,10,67,32,58.33%,24.44%,518,492,83.33%
Cristiano,Messi,25,22,10,88,43,61.54%,25.71%,415,350,80%
Kylian,Jr.,25,18,9,60,30,63.64%,25.45%,400,388,87.50%
Harry,De Bruyne,16,11,19,70,30,54.55%,25.45%,566,501,87.27%
Neymar,Jr.,16,14,5,58,57,58.33%,24.44%,511,380,86.67%
Lionel,Ronaldo,25,22,5,87,56,78.57%,25.71%,513,350,91.67%
Robert,Kane,16,22,5,90,60,66.67%,24.44%,678,600,85.71%
Robert,Kane,18,20,11,63,39,61.54%,14.55%,674,540,89.23%
Mohamed,Salah,23,10,5,65,45,61.54%,25.71%,540,363,80%
